titles,artists
Love Is in the Air,John Paul Young
Goodbye Girl,David Gates
Slip Slidin' Away,Paul Simon
The Groove Line,Heatwave
Thunder Island,Jay Ferguson
Imaginary Lover,Atlanta Rhythm Section
Still the Same,Bob Seger & The Silver Bullet Band
My Angel Baby,Toby Beau
Disco Inferno,The Trammps
On Broadway,George Benson
Come Sail Away,Styx
(Every Time I Turn Around) Back in Love Again,L.T.D.
This Time I'm in It for Love,Player
You Belong to Me,Carly Simon
Here You Come Again,Dolly Parton
Blue Bayou,Linda Ronstadt
Peg,Steely Dan
You Needed Me,Anne Murray
Shame,"Evelyn ""Champagne"" King"
Reminiscing,Little River Band
Count On Me,Jefferson Starship
Baby Hold On,Eddie Money
Hey Deanie,Shaun Cassidy
Summer Nights,John Travolta
What's Your Name,Lynyrd Skynyrd
Don't It Make My Brown Eyes Blue,Crystal Gayle
Because the Night,Patti Smith Group
Every Kinda People,Robert Palmer
Copacabana,Barry Manilow
Always and Forever,Heatwave
You and I,Rick James
Serpentine Fire,"Earth, Wind & Fire"
Sentimental Lady,Bob Welch
Falling,LeBlanc
Don't Let Me Be Misunderstood,Santa Esmeralda
Bluer Than Blue,Michael Johnson
Running on Empty,Jackson Browne
Whenever I Call You 'Friend',Kenny Loggins
Fool (If You Think It's Over),Chris Rea
Get Off,Foxy
Sweet Talkin' Woman,Electric Light Orchestra
Life's Been Good,Joe Walsh
I Love the Nightlife,Alicia Bridges
You Can't Turn Me Off (In The Middle Of Turning Me On),High Inergy
It's So Easy,Linda Ronstadt
Native New Yorker,Odyssey
Flash Light,Parliament
Don't Look Back,Boston
Turn to Stone,Electric Light Orchestra
I Can't Stand the Rain,Eruption
Ebony Eyes,Bob Welch
The Name of the Game,ABBA
We're All Alone,Rita Coolidge
Hollywood Nights,Bob Seger & The Silver Bullet Band
Deacon Blues,Steely Dan
Bette Davis Eyes,Kim Carnes
Endless Love,Diana Ross
Lady,Kenny Rogers
(Just Like) Starting Over,John Lennon
Jessie's Girl,Rick Springfield
Celebration,Kool & the Gang
Kiss on My List,Hall & Oates
I Love a Rainy Night,Eddie Rabbitt
9 To 5,Dolly Parton
Keep on Loving You,REO Speedwagon
Theme from The Greatest American Hero (Believe It or Not),Joey Scarbury
Morning Train (Nine to Five),Sheena Easton
Being with You,Smokey Robinson
Queen of Hearts,Juice Newton
Rapture,Blondie
A Woman Needs Love (Just Like You Do),Raydio
The Tide Is High,Blondie
Just the Two of Us,"Grover Washington, Jr."
Slow Hand,The Pointer Sisters
I Love You,Climax Blues Band
Woman,John Lennon
Sukiyaki,A Taste of Honey
The Winner Takes It All,ABBA
Stars on 45 Medley,Stars on 45
Angel of the Morning,Juice Newton
Love on the Rocks,Neil Diamond
Every Woman in the World,Air Supply
The One That You Love,Air Supply
Guilty,Barbra Streisand
The Best of Times,Styx
Elvira,The Oak Ridge Boys
Take It on the Run,REO Speedwagon
(There's) No Gettin' Over Me,Ronnie Milsap
Living Inside Myself,Gino Vannelli
Woman in Love,Barbra Streisand
The Boy from New York City,The Manhattan Transfer
Urgent,Foreigner
Passion,Rod Stewart
Lady (You Bring Me Up),Commodores
Crying,Don McLean
Hearts,Marty Balin
It's My Turn,Diana Ross
You Make My Dreams,Hall & Oates
I Don't Need You,Kenny Rogers
How 'Bout Us,Champaign
Hit Me with Your Best Shot,Pat Benatar
The Breakup Song (They Don't Write 'Em),The Greg Kihn Band
Time,The Alan Parsons Project
Hungry Heart,Bruce Springsteen
Sweetheart,Franke and the Knockouts
Somebody's Knockin',Terri Gibbs
More Than I Can Say,Leo Sayer
Together,Tierra
Too Much Time on My Hands,Styx
What Are We Doin' in Love,Dottie West
Who's Crying Now,Journey
"De Do Do Do, De Da Da Da",The Police
This Little Girl,Gary U.S. Bonds
Stop Draggin' My Heart Around,Stevie Nicks
Giving It Up for Your Love,Delbert McClinton
A Little in Love,Cliff Richard
America,Neil Diamond
Ain't Even Done with the Night,John Cougar
Arthur's Theme (Best That You Can Do),Christopher Cross
Another One Bites the Dust,Queen
Games People Play,The Alan Parsons Project
I Can't Stand It,Eric Clapton
While You See a Chance,Steve Winwood
Master Blaster (Jammin'),Stevie Wonder
Hello Again,Neil Diamond
Don't Stand So Close to Me,The Police
Hey Nineteen,Steely Dan
I Ain't Gonna Stand for It,Stevie Wonder
All Those Years Ago,George Harrison
Step By Step,Eddie Rabbitt
The Stroke,Billy Squier
Feels So Right,Alabama
Sweet Baby,Stanley Clarke
Same Old Lang Syne,Dan Fogelberg
Cool Love,Pablo Cruise
Hold On Tight,Electric Light Orchestra
It's Now or Never,John Schneider
Treat Me Right,Pat Benatar
Winning,Santana
What Kind of Fool,Barbra Streisand
Watching the Wheels,John Lennon
Tell It Like It Is,Heart
Smoky Mountain Rain,Ronnie Milsap
I Made It Through the Rain,Barry Manilow
You've Lost That Lovin' Feelin',Hall & Oates
Suddenly,Olivia Newton-John
For Your Eyes Only,Sheena Easton
The Beach Boys Medley,The Beach Boys
Whip It,Devo
Modern Girl,Sheena Easton
Really Wanna Know You,Gary Wright
Seven Year Ache,Rosanne Cash
I'm Coming Out,Diana Ross
Miss Sun,Boz Scaggs
Time Is Time,Andy Gibb
When Doves Cry,Prince
what’s love got to do with it ,Tina Turner
Footloose,Kenny Loggins
Against All Odds (Take a Look at Me Now),Phil Collins
Jump,Van Halen
Hello,Lionel Richie
Owner of a Lonely Heart,Yes
Ghostbusters,Ray Parker Jr.
Karma Chameleon,Culture Club
Missing You,John Waite
All Night Long (All Night),Lionel Richie
Let's Hear It for the Boy,Deniece Williams
Dancing in the Dark,Bruce Springsteen
Girls Just Want to Have Fun,Cyndi Lauper
The Reflex,Duran Duran
Time After Time,Cyndi Lauper
Jump (For My Love),The Pointer Sisters
Talking in Your Sleep,The Romantics
Self Control,Laura Branigan
Let's Go Crazy,Prince
Say It Isn't So,Daryl Hall & John Oates
Hold Me Now,Thompson Twins
Joanna,Kool & the Gang
I Just Called to Say I Love You,Stevie Wonder
Somebody's Watching Me,Rockwell
Break My Stride,Matthew Wilder
99 Luftballons,Nena
I Can Dream About You,Dan Hartman
The Glamorous Life,Sheila E.
Oh Sherrie,Steve Perry
Stuck on You,Lionel Richie
I Guess That's Why They Call It the Blues,Elton John
She Bop,Cyndi Lauper
Borderline,Madonna
Sunglasses at Night,Corey Hart
Eyes Without a Face,Billy Idol
Here Comes the Rain Again,Eurythmics
Uptown Girl,Billy Joel
Sister Christian,Night Ranger
Drive,The Cars
Twist of Fate,Olivia Newton-John
Union of the Snake,Duran Duran
The Heart of Rock & Roll,Huey Lewis and the News
Hard Habit to Break,Chicago
The Warrior,Scandal
If Ever You're in My Arms Again,Peabo Bryson
Automatic,The Pointer Sisters
Let the Music Play,Shannon
To All the Girls I've Loved Before,Julio Iglesias
Caribbean Queen (No More Love on the Run),Billy Ocean
That's All,Genesis
Running with the Night,Lionel Richie
Sad Songs (Say So Much),Elton John
I Want a New Drug,Huey Lewis and the News
Islands in the Stream,Kenny Rogers
Love Is a Battlefield,Pat Benatar
Infatuation,Rod Stewart
Almost Paradise,Mike Reno
Legs,ZZ Top
State of Shock,The Jacksons
Love Somebody,Rick Springfield
Miss Me Blind,Culture Club
If This Is It,Huey Lewis and the News
You Might Think,The Cars
Lucky Star,Madonna
Cover Me,Bruce Springsteen
Cum on Feel the Noize,Quiet Riot
Breakdance,Irene Cara
Adult Education,Daryl Hall & John Oates
They Don't Know,Tracey Ullman
An Innocent Man,Billy Joel
Cruel Summer,Bananarama
Dance Hall Days,Wang Chung
Give It Up,KC and the Sunshine Band
I'm So Excited,The Pointer Sisters
I Still Can't Get Over Loving You,Ray Parker Jr.
Thriller,Michael Jackson
Holiday,Madonna
Breakin'... There's No Stopping Us,Ollie & Jerry
Nobody Told Me,John Lennon
Church of the Poison Mind,Culture Club
Think of Laura,Christopher Cross
Time Will Reveal,DeBarge
Wrapped Around Your Finger,The Police
Pink Houses,John Cougar Mellencamp
Round and Round,Ratt
Head over Heels,The Go-Go's
The Longest Time,Billy Joel
Tonight,Kool & the Gang
Got a Hold on Me,Christine McVie
Dancing in the Sheets,Shalamar
Undercover of the Night,The Rolling Stones
On the Dark Side,John Cafferty and the Beaver Brown Band
New Moon on Monday,Duran Duran
Major Tom (Coming Home),Peter Schilling
Magic,The Cars
When You Close Your Eyes,Night Ranger
Rock Me Tonite,Billy Squier
Yah Mo B There,James Ingram
Walk Like An Egyptian,The Bangles
Alone,Heart
Shake You Down,Gregory Abbott
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston
Nothing's Gonna Stop Us Now,Starship
C'est La Vie,Robbie Nevil
Here I Go Again,Whitesnake
The Way It Is,Bruce Hornsby and the Range
Shakedown,Bob Seger
Livin' on a Prayer,Bon Jovi
La Bamba,Los Lobos
Everybody Have Fun Tonight,Wang Chung
Don't Dream It's Over,Crowded House
Always,Atlantic Starr
With or Without You,U2
Looking for a New Love,Jody Watley
Head to Toe,Lisa Lisa and Cult Jam
I Think We're Alone Now,Tiffany
Mony Mony,Billy Idol
At This Moment,Billy Vera and the Beaters
The Lady in Red,Chris de Burgh
Didn't We Almost Have It All,Whitney Houston
I Still Haven't Found What I'm Looking For,U2
I Want Your Sex,George Michael
Notorious,Duran Duran
Only in My Dreams,Debbie Gibson
(I've Had) The Time of My Life,Bill Medley
The Next Time I Fall,Peter Cetera
Lean on Me,Club Nouveau
Open Your Heart,Madonna
Lost in Emotion,Lisa Lisa and Cult Jam
(I Just) Died In Your Arms,Cutting Crew
Heart and Soul,T'Pau
You Keep Me Hangin' On,Kim Wilde
Keep Your Hands to Yourself,Georgia Satellites
I Knew You Were Waiting (For Me),Aretha Franklin
Control,Janet Jackson
U Got the Look,Prince
Somewhere Out There,Linda Ronstadt
Land of Confusion,Genesis
Jacob's Ladder,Huey Lewis and the News
Who's That Girl,Madonna
You Got It All,The Jets
Touch Me (I Want Your Body),Samantha Fox
I Just Can't Stop Loving You,Michael Jackson
Causing a Commotion,Madonna
In Too Deep,Genesis
Let's Wait Awhile,Janet Jackson
Hip to Be Square,Huey Lewis and the News
Will You Still Love Me?,Chicago
Little Lies,Fleetwood Mac
Luka,Suzanne Vega
I Heard A Rumour,Bananarama
Don't Mean Nothing,Richard Marx
Songbird,Kenny G
Carrie,Europe
Don't Disturb This Groove,The System
La Isla Bonita,Madonna
Bad,Michael Jackson
Sign o' the Times,Prince
Change of Heart,Cyndi Lauper
Come Go with Me,Exposé
Can't We Try,Dan Hill
To Be a Lover,Billy Idol
Mandolin Rain,Bruce Hornsby and the Range
Breakout,Swing Out Sister
Stand by Me,Ben E. King
"Tonight, Tonight, Tonight",Genesis
Someday,Glass Tiger
When Smokey Sings,ABC
Casanova,LeVert
Rhythm Is Gonna Get You,Gloria Estefan and Miami Sound Machine
Rock Steady,The Whispers
Wanted Dead or Alive,Bon Jovi
Big Time,Peter Gabriel
The Finer Things,Steve Winwood
Let Me Be the One,Exposé
Is This Love,Survivor
Diamonds,Herb Alpert
Point of No Return,Exposé
Big Love,Fleetwood Mac
Midnight Blue,Lou Gramm
Something So Strong,Crowded House
Heat of the Night,Bryan Adams
Nothing's Gonna Change My Love for You,Glenn Medeiros
Brilliant Disguise,Bruce Springsteen
Just to See Her,Smokey Robinson
Who Will You Run To,Heart
Respect Yourself,Bruce Willis
Cross My Broken Heart,The Jets
Victory,Kool & the Gang
Don't Get Me Wrong,The Pretenders
Doing It All for My Baby,Huey Lewis and the News
Right on Track,Breakfast Club
Ballerina Girl,Lionel Richie
Meet Me Half Way,Kenny Loggins
I've Been in Love Before,Cutting Crew
(You Gotta) Fight for Your Right (To Party!),Beastie Boys
Funkytown,Pseudo Echo
Love You Down,Ready for the World
Hold On,Wilson Phillips
It Must Have Been Love,Roxette
Nothing Compares 2 U,Sinéad O'Connor
Poison,Bell Biv DeVoe
Vogue,Madonna
Vision of Love,Mariah Carey
Another Day in Paradise,Phil Collins
Hold On,En Vogue
Cradle of Love,Billy Idol
Blaze of Glory,Jon Bon Jovi
Do Me!,Bell Biv DeVoe
How Am I Supposed to Live Without You,Michael Bolton
Pump Up the Jam,Technotronic
Opposites Attract,Paula Abdul
Escapade,Janet Jackson
All I Wanna Do Is Make Love to You,Heart
Close to You,Maxi Priest
Black Velvet,Alannah Myles
Release Me,Wilson Phillips
Don't Know Much,Linda Ronstadt
All Around the World,Lisa Stansfield
I Wanna Be Rich,Calloway
Rub You the Right Way,Johnny Gill
She Ain't Worth It,Glenn Medeiros
If Wishes Came True,Sweet Sensation
The Power,Snap!
(Can't Live Without Your) Love and Affection,Nelson
Love Will Lead You Back,Taylor Dayne
Don't Wanna Fall in Love,Jane Child
Two to Make It Right,Seduction
Sending All My Love,Linear
Unskinny Bop,Poison
Step by Step,New Kids on the Block
Dangerous,Roxette
We Didn't Start the Fire,Billy Joel
I Don't Have the Heart,James Ingram
Downtown Train,Rod Stewart
Rhythm Nation,Janet Jackson
I'll Be Your Everything,Tommy Page
Roam,The B-52's
Everything,Jody Watley
Back to Life (However Do You Want Me),Soul II Soul
Here and Now,Luther Vandross
Alright,Janet Jackson
Ice Ice Baby,Vanilla Ice
Blame It on the Rain,Milli Vanilli
Have You Seen Her,MC Hammer
With Every Beat of My Heart,Taylor Dayne
Come Back to Me,Janet Jackson
No More Lies,Michel'le
Praying for Time,George Michael
How Can We Be Lovers,Michael Bolton
Do You Remember?,Phil Collins
Ready or Not,After 7
U Can't Touch This,MC Hammer
I Wish It Would Rain Down,Phil Collins
Just Between You and Me,Lou Gramm
Something Happened on the Way to Heaven,Phil Collins
Black Cat,Janet Jackson
Can't Stop,After 7
Janie's Got a Gun,Aerosmith
The Humpty Dance,Digital Underground
I'll Be Your Shelter,Taylor Dayne
Free Fallin',Tom Petty
Giving You the Benefit,Pebbles
Enjoy the Silence,Depeche Mode
Love Song,Tesla
Price of Love,Bad English
Girls Nite Out,Tyler Collins
King of Wishful Thinking,Go West
What Kind of Man Would I Be?,Chicago
I Remember You,Skid Row
Get Up! (Before the Night Is Over),Technotronic
Here We Are,Gloria Estefan
Epic,Faith No More
Love Takes Time,Mariah Carey
Just Like Jesse James,Cher
Love Shack,The B-52's
All or Nothing,Milli Vanilli
Romeo,Dino
Everybody Everybody,Black Box
I Go to Extremes,Billy Joel
Whip Appeal,Babyface
Oh Girl,Paul Young
C'mon and Get My Love,D Mob
(It's Just) The Way That You Love Me,Paula Abdul
We Can't Go Wrong,The Cover Girls
When I'm Back on My Feet Again,Michael Bolton
Make You Sweat,Keith Sweat
This One's for the Children,New Kids on the Block
What It Takes,Aerosmith
Forever,Kiss
Jerk Out,The Time
Just a Friend,Biz Markie
Whole Wide World,A'Me Lorain
Without You,Mötley Crüe
Swing the Mood,Jive Bunny and the Mastermixers
Thieves in the Temple,Prince
Mentirosa,Mellow Man Ace
Tic-Tac-Toe,Kyper
I Will Always Love You,Whitney Houston
Whoomp! (There It Is),Tag Team
Can't Help Falling in Love,UB40
That's the Way Love Goes,Janet Jackson
Freak Me,Silk
Weak,SWV
If I Ever Fall in Love,Shai
Dreamlover,Mariah Carey
Rump Shaker,Wreckx-n-Effect
Informer,Snow
Nuthin' but a 'G' Thang,Dr. Dre
In the Still of the Nite,Boyz II Men
Don't Walk Away,Jade
Knockin' da Boots,H-Town
Lately,Jodeci
Dazzey Duks,Duice
Show Me Love,Robin S.
A Whole New World,Peabo Bryson
If,Janet Jackson
I'm So Into You,SWV
Love Is,Vanessa Williams
Runaway Train,Soul Asylum
I'll Never Get Over You (Getting Over Me),Exposé
Ditty,Paperboy
Rhythm Is a Dancer,Snap!
The River of Dreams,Billy Joel
I'm Gonna Be (500 Miles),The Proclaimers
Two Princes,Spin Doctors
Right Here (Human Nature),SWV
I Have Nothing,Whitney Houston
Mr. Wendal,Arrested Development
Have I Told You Lately,Rod Stewart
Saving Forever for You,Shanice
Ordinary World,Duran Duran
If I Had No Loot,Tony! Toni! Toné!
I'd Do Anything for Love (But I Won't Do That),Meat Loaf
Slam,Onyx
Looking Through Patient Eyes,P.M. Dawn
I'm Every Woman,Whitney Houston
Baby I'm Yours,Shai
Come Undone,Duran Duran
I Don't Wanna Fight,Tina Turner
I'd Die Without You,P.M. Dawn
"Whoot, There It Is",95 South
Hip Hop Hooray,Naughty by Nature
Another Sad Love Song,Toni Braxton
Will You Be There,Michael Jackson
Comforter,Shai
Good Enough,Bobby Brown
What's Up?,4 Non Blondes
All That She Wants,Ace of Base
7,Prince
Dre Day,Dr. Dre
One Last Cry,Brian McKnight
Just Kickin' It,Xscape
I Get Around,2Pac
Bed of Roses,Bon Jovi
Real Love,Mary J. Blige
Here We Go Again!,Portrait
Cryin',Aerosmith
Cat's in the Cradle,Ugly Kid Joe
What About Your Friends,TLC
I Got a Man,Positive K
Hey Mr. D.J.,Zhané
Insane in the Brain,Cypress Hill
Deeper and Deeper,Madonna
Rain,Madonna
The Right Kind of Love,Jeremy Jordan
Bad Boys,Inner Circle
That's What Love Can Do,Boy Krazy
Do You Believe in Us,Jon Secada
Angel,Jon Secada
Forever in Love,Kenny G
Again,Janet Jackson
Boom! Shake the Room,DJ Jazzy Jeff & The Fresh Prince
When She Cries,Restless Heart
Sweat (A La La La La Long),Inner Circle
It Was a Good Day,Ice Cube
More and More,Captain Hollywood Project
How Do You Talk to an Angel,The Heights
Rebirth of Slick (Cool Like Dat),Digable Planets
What Is Love,Haddaway
To Love Somebody,Michael Bolton
"Give It Up, Turn It Loose",En Vogue
Alright,Kris Kross
Check Yo Self,Ice Cube
Fields of Gold,Sting
Ooh Child,Dino
Faithful,Go West
Reason to Believe,Rod Stewart
Break It Down Again,Tears for Fears
Nothin' My Love Can't Fix,Joey Lawrence
Three Little Pigs,Green Jellÿ
Livin' on the Edge,Aerosmith
Hey Jealousy,Gin Blossoms
If I Ever Lose My Faith in You,Sting
Anniversary,Tony! Toni! Toné!
One Woman,Jade
Can't Get Enough of Your Love,Taylor Dayne
Two Steps Behind,Def Leppard
Macarena,Los del Río
Macarena,Los del Río
One Sweet Day,Mariah Carey
Because You Loved Me,Celine Dion
Nobody Knows,The Tony Rich Project
Always Be My Baby,Mariah Carey
Give Me One Reason,Tracy Chapman
Tha Crossroads,Bone Thugs-n-Harmony
I Love You Always Forever,Donna Lewis
"(""You're Makin' Me High"", 'Toni Braxton')","('Let It Flow', 'Toni Braxton')"
Twisted,Keith Sweat
C'mon N' Ride It (The Train),Quad City DJ's
Missing,Everything but the Girl
Ironic,Alanis Morissette
Exhale (Shoop Shoop),Whitney Houston
"('Follow You Down', 'Gin Blossoms')","('Til I Hear It from You', 'Gin Blossoms')"
Sittin' Up in My Room,Brandy
It's All Coming Back to Me Now,Celine Dion
Change the World,Eric Clapton
Hey Lover,LL Cool J
Loungin,LL Cool J
Insensitive,Jann Arden
Be My Lover,La Bouche
Name,Goo Goo Dolls
Who Will Save Your Soul,Jewel
Where Do You Go,No Mercy
I Can't Sleep Baby (If I),R. Kelly
Counting Blue Cars,Dishwalla
"('You Learn', 'Alanis Morissette')","('You Oughta Know', 'Alanis Morissette')"
One of Us,Joan Osborne
Wonder,Natalie Merchant
Not Gon' Cry,Mary J. Blige
Gangsta's Paradise,Coolio
Only You,112
Down Low (Nobody Has to Know),R. Kelly
You're the One,SWV
Sweet Dreams,La Bouche
"('Before You Walk Out of My Life', 'Monica')","('Like This and Like That', 'Monica')"
Breakfast at Tiffany's,Deep Blue Something
"1, 2, 3, 4 (Sumpin' New)",Coolio
The World I Know,Collective Soul
No Diggity,Blackstreet
Anything,3T
1979,The Smashing Pumpkins
Diggin' on You,TLC
"('Why I Love You So Much', 'Monica')","(""Ain't Nobody"", 'Monica')"
Kissin' You,Total
Count on Me,Whitney Houston
Fantasy,Mariah Carey
Time,Hootie & the Blowfish
You'll See,Madonna
Last Night,Az Yet
Mouth,Merril Bainbridge
"The Earth, the Sun, the Rain",Color Me Badd
All the Things (Your Man Won't Do),Joe
Wonderwall,Oasis
"('Woo Hah!! Got You All in Check', 'Busta Rhymes')","('Everything Remains Raw', 'Busta Rhymes')"
Tell Me,Groove Theory
Elevators (Me & You),Outkast
Hook,Blues Traveler
Doin' It,LL Cool J
Fastlove,George Michael
"Touch Me, Tease Me",Case
Tonite's tha Night,Kris Kross
Children,Robert Miles
Theme from Mission: Impossible,Adam Clayton
Closer to Free,BoDeans
Just a Girl,No Doubt
If Your Girl Only Knew,Aaliyah
Lady,D'Angelo
Key West Intermezzo (I Saw You First),John Mellencamp
Pony,Ginuwine
Nobody,Keith Sweat
Old Man & Me (When I Get to Heaven),Hootie & the Blowfish
If It Makes You Happy,Sheryl Crow
As I Lay Me Down,Sophie B. Hawkins
"Keep On, Keepin' On",MC Lyte
Jealousy,Natalie Merchant
I Want to Come Over,Melissa Etheridge
Who Do U Love,Deborah Cox
Un-Break My Heart,Toni Braxton
This Is Your Night,Amber
You Remind Me of Something,R. Kelly
Runaway,Janet Jackson
Set U Free,Planet Soul
Hit Me Off,New Edition
No One Else,Total
My Boo,Ghost Town DJ's
Get Money,Junior M.A.F.I.A.
That Girl,Maxi Priest
Po Pimp,Do or Die
Until It Sleeps,Metallica
Hay,Crucial Conflict
Beautiful Life,Ace of Base
Back for Good,Take That
I Got Id,Pearl Jam
Soon as I Get Home,Faith Evans
Only Wanna Be with You,Hootie & the Blowfish
Don't Cry,Seal
Believe,Cher
No Scrubs,TLC
Angel of Mine,Monica
Heartbreak Hotel,Whitney Houston
...Baby One More Time,Britney Spears
Kiss Me,Sixpence None the Richer
Genie in a Bottle,Christina Aguilera
Every Morning,Sugar Ray
Nobody's Supposed to Be Here,Deborah Cox
Livin' la Vida Loca,Ricky Martin
Where My Girls At?,702
If You Had My Love,Jennifer Lopez
Slide,Goo Goo Dolls
Have You Ever?,Brandy
I Want It That Way,Backstreet Boys
I'm Your Angel,R. Kelly
All Star,Smash Mouth
Angel,Sarah McLachlan
Smooth,Santana
Unpretty,TLC
"Bills, Bills, Bills",Destiny's Child
Save Tonight,Eagle-Eye Cherry
Last Kiss,Pearl Jam
Fortunate,Maxwell
All I Have to Give,Backstreet Boys
Bailamos,Enrique Iglesias
What's It Gonna Be?!,Busta Rhymes
What It's Like,Everlast
Fly Away,Lenny Kravitz
Someday,Sugar Ray
Lately,Divine
That Don't Impress Me Much,Shania Twain
Wild Wild West,Will Smith
Scar Tissue,Red Hot Chili Peppers
Heartbreaker,Mariah Carey
I Still Believe,Mariah Carey
The Hardest Thing,98 Degrees
Summer Girls,LFO
Can I Get A...,Jay-Z
Jumper,Third Eye Blind
Doo Wop (That Thing),Lauryn Hill
Mambo No. 5,Lou Bega
Sweet Lady,Tyrese
It's Not Right but It's Okay,Whitney Houston
(God Must Have Spent) A Little More Time on You,NSYNC
Lullaby,Shawn Mullins
Anywhere,112
Tell Me It's Real,K-Ci & JoJo
Back 2 Good,Matchbox 20
808,Blaque
She's So High,Tal Bachman
She's All I Ever Had,Ricky Martin
Miami,Will Smith
Hands,Jewel
Who Dat,JT Money
Please Remember Me,Tim McGraw
From This Moment On,Shania Twain
Love Like This,Faith Evans
You,Jesse Powell
Trippin',Total
If You,Silk
Ex-Factor,Lauryn Hill
Give It to You,Jordan Knight
Black Balloon,Goo Goo Dolls
Spend My Life with You,Eric Benét
These Are the Times,Dru Hill
I Don't Want to Miss a Thing,Mark Chesnutt
I Do (Cherish You),98 Degrees
Because of You,98 Degrees
I Will Remember You,Sarah McLachlan
Chanté's Got a Man,Chanté Moore
Happily Ever After,Case
My Love Is Your Love,Whitney Houston
All Night Long,Faith Evans
Back That Thang Up,Juvenile
Almost Doesn't Count,Brandy
Man! I Feel Like a Woman!,Shania Twain
Steal My Sunshine,Len
I Need to Know,Marc Anthony
So Anxious,Ginuwine
Back at One,Brian McKnight
When a Woman's Fed Up,R. Kelly
How Forever Feels,Kenny Chesney
Amazed,Lonestar
Sometimes,Britney Spears
Ghetto Cowboy,Mo Thugs
Out of My Head,Fastball
Hard Knock Life (Ghetto Anthem),Jay-Z
Jamboree,Naughty by Nature
Take Me There,Blackstreet
Stay the Same,Joey McIntyre
A Lesson in Leavin',Jo Dee Messina
Iris,Goo Goo Dolls
Satisfy You,Puff Daddy
Better Days (And the Bottom Drops Out),Citizen King
Music of My Heart,'N Sync
Write This Down,George Strait
When You Believe,Whitney Houston
(God Must Have Spent) A Little More Time on You,Alabama
How You Remind Me,Nickelback
Foolish,Ashanti
Hot in Herre,Nelly
Dilemma,Nelly
Wherever You Will Go,The Calling
A Thousand Miles,Vanessa Carlton
In the End,Linkin Park
What's Luv?,Fat Joe
U Got It Bad,Usher
Blurry,Puddle of Mudd
Complicated,Avril Lavigne
Always on Time,Ja Rule
Ain't It Funny (Murder Remix),Jennifer Lopez
The Middle,Jimmy Eat World
I Need a Girl (Part One),P. Diddy
U Don't Have to Call,Usher
Family Affair,Mary J. Blige
I Need a Girl (Part Two),P. Diddy
Gangsta Lovin',Eve
My Sacrifice,Creed
Without Me,Eminem
Hero,Enrique Iglesias
All You Wanted,Michelle Branch
Get the Party Started,Pink
Hero,Chad Kroeger
Wasting My Time,Default
One Last Breath,Creed
"Whenever, Wherever",Shakira
I'm Gonna Be Alright,Jennifer Lopez
Oh Boy,Cam'ron
Heaven,DJ Sammy
Hey Baby,No Doubt
Girlfriend,'N Sync
Just a Friend 2002,Mario
Soak Up the Sun,Sheryl Crow
Don't Let Me Get Me,Pink
Nothin',N.O.R.E.
Oops (Oh My),Tweet
A Moment Like This,Kelly Clarkson
Addictive,Truth Hurts
Happy,Ashanti
No Such Thing,John Mayer
Just Like a Pill,Pink
Down 4 U,Ja Rule
Can't Get You Out of My Head,Kylie Minogue
Superman (It's Not Easy),Five for Fighting
Cleanin' Out My Closet,Eminem
Halfcrazy,Musiq Soulchild
"Lights, Camera, Action!",Mr. Cheeks
Still Fly,Big Tymers
A Woman's Worth,Alicia Keys
7 Days,Craig David
Hey Ma,Cam'ron
Work It,Missy Elliott
Move Bitch,Ludacris
Can't Fight the Moonlight,LeAnn Rimes
Escape,Enrique Iglesias
More Than A Woman,Aaliyah
Hella Good,No Doubt
I Love You,Faith Evans
Gotta Get thru This,Daniel Bedingfield
"Pass the Courvoisier, Part II",Busta Rhymes
Lose Yourself,Eminem
Butterflies,Michael Jackson
What About Us?,Brandy
Underneath Your Clothes,Shakira
Rainy Dayz,Mary J. Blige
Differences,Ginuwine
If I Could Go!,Angie Martinez
The Whole World,Outkast
Underneath It All,No Doubt
Caramel,City High
Luv U Better,LL Cool J
Gimme the Light,Sean Paul
Gone,'N Sync
Livin' It Up,Ja Rule
Rollout (My Business),Ludacris
Here Is Gone,Goo Goo Dolls
No More Drama,Mary J. Blige
Days Go By,Dirty Vegas
Baby,Ashanti
The Good Stuff,Kenny Chesney
We Thuggin',Fat Joe
Good Morning Beautiful,Steve Holy
Rock the Boat,Aaliyah
Drive (For Daddy Gene),Alan Jackson
Standing Still,Jewel
Full Moon,Brandy
Uh Huh,B2K
A New Day Has Come,Celine Dion
Turn Off the Light,Nelly Furtado
Living and Living Well,George Strait
My List,Toby Keith
Hands Clean,Alanis Morissette
Sk8er Boi,Avril Lavigne
Long Time Gone,Dixie Chicks
Where Were You (When the World Stopped Turning),Alan Jackson
Like I Love You,Justin Timberlake
I Do!!,Toya
We Belong Together,Mariah Carey
Hollaback Girl,Gwen Stefani
Let Me Love You,Mario
Since U Been Gone,Kelly Clarkson
"1, 2 Step",Ciara
Gold Digger,Kanye West
Boulevard of Broken Dreams,Green Day
Candy Shop,50 Cent
Don't Cha,The Pussycat Dolls
Behind These Hazel Eyes,Kelly Clarkson
Disco Inferno,50 Cent
You and Me,Lifehouse
Don't Phunk with My Heart,The Black Eyed Peas
Lose Control,Missy Elliott
Shake It Off,Mariah Carey
Mr. Brightside,The Killers
Just a Lil Bit,50 Cent
